RECONYX - MapView Professional,,,,,,,,,,,,,,,,,,,,,,,
Image Name,Site,Location,Trigger,Date,Time,Moon Phase,Illum,Label,Contrast,Brightness,Sharpness,Saturation,Sensitivity,Temp,Battery(Volts),Serial #,Narrative,Firmware,Image Path, Location Latitude, Location Longitude,Hit List,Counts
2016-07-31 11-17-15 M 1_3.JPG,20160830_August,BB35,M 1/3,31/07/2016,11:17:15 AM,Waning Crescent,Off,HC600 HYPERFIRE,128,0,64,154,100,70,9.8,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-07-31 11-17-15 M 1_3.JPG,,,Emu,Other [1]
2016-07-31 11-17-16 M 2_3.JPG,20160830_August,BB35,M 2/3,31/07/2016,11:17:16 AM,Waning Crescent,Off,HC600 HYPERFIRE,128,0,64,154,100,70,11,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-07-31 11-17-16 M 2_3.JPG,,,Emu,
2016-07-31 11-17-17 M 3_3.JPG,20160830_August,BB35,M 3/3,31/07/2016,11:17:17 AM,Waning Crescent,Off,HC600 HYPERFIRE,128,0,64,154,100,70,11,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-07-31 11-17-17 M 3_3.JPG,,,Emu,
2016-08-16 23-08-46 M 1_3.JPG,20160830_August,BB35,M 1/3,16/08/2016,11:08:46 PM,Waxing Gibbous,On,HC600 HYPERFIRE,160,0,32,0,100,62,9.8,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-16 23-08-46 M 1_3.JPG,,,Kangaroo,Kangaroo [1]
2016-08-16 23-08-47 M 2_3.JPG,20160830_August,BB35,M 2/3,16/08/2016,11:08:47 PM,Waxing Gibbous,On,HC600 HYPERFIRE,160,0,32,0,100,62,9.9,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-16 23-08-47 M 2_3.JPG,,,Kangaroo,
2016-08-16 23-08-48 M 3_3.JPG,20160830_August,BB35,M 3/3,16/08/2016,11:08:48 PM,Waxing Gibbous,On,HC600 HYPERFIRE,160,0,32,0,100,62,9.9,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-16 23-08-48 M 3_3.JPG,,,Kangaroo,
2016-08-16 23-09-08 M 1_3.JPG,20160830_August,BB35,M 1/3,16/08/2016,11:09:08 PM,Waxing Gibbous,On,HC600 HYPERFIRE,160,0,32,0,100,62,9.9,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-16 23-09-08 M 1_3.JPG,,,Kangaroo,
2016-08-16 23-09-09 M 2_3.JPG,20160830_August,BB35,M 2/3,16/08/2016,11:09:09 PM,Waxing Gibbous,On,HC600 HYPERFIRE,160,0,32,0,100,62,9.8,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-16 23-09-09 M 2_3.JPG,,,Kangaroo,
2016-08-16 23-09-10 M 3_3.JPG,20160830_August,BB35,M 3/3,16/08/2016,11:09:10 PM,Waxing Gibbous,On,HC600 HYPERFIRE,160,0,32,0,100,62,9.8,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-16 23-09-10 M 3_3.JPG,,,Kangaroo,
2016-08-29 00-04-24 M 1_3.JPG,20160830_August,BB35,M 1/3,29/08/2016,12:04:24 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,66,9.8,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-29 00-04-24 M 1_3.JPG,,,Empty photo,
2016-08-29 00-04-25 M 2_3.JPG,20160830_August,BB35,M 2/3,29/08/2016,12:04:25 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,66,9.9,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-29 00-04-25 M 2_3.JPG,,,Empty photo,
2016-08-29 00-04-26 M 3_3.JPG,20160830_August,BB35,M 3/3,29/08/2016,12:04:26 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,66,9.9,H600HJ01248012,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB35\2016-08-29 00-04-26 M 3_3.JPG,,,Empty photo,
