RECONYX - MapView Professional,,,,,,,,,,,,,,,,,,,,,,,
Image Name,Site,Location,Trigger,Date,Time,Moon Phase,Illum,Label,Contrast,Brightness,Sharpness,Saturation,Sensitivity,Temp,Battery(Volts),Serial #,Narrative,Firmware,Image Path, Location Latitude, Location Longitude,Hit List,Counts
2016-07-25 13-54-48 M 1_3.JPG,20160830_August,BB15,M 1/3,25/07/2016,1:54:48 PM,Last Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,68,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-25 13-54-48 M 1_3.JPG,,,Human Presense/Deployment,
2016-07-25 13-54-49 M 2_3.JPG,20160830_August,BB15,M 2/3,25/07/2016,1:54:49 PM,Last Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,68,8.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-25 13-54-49 M 2_3.JPG,,,Human Presense/Deployment,
2016-07-25 13-54-50 M 3_3.JPG,20160830_August,BB15,M 3/3,25/07/2016,1:54:50 PM,Last Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,68,8.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-25 13-54-50 M 3_3.JPG,,,Human Presense/Deployment,
2016-07-29 05-13-59 M 1_3.JPG,20160830_August,BB15,M 1/3,29/07/2016,5:13:59 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,27,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-29 05-13-59 M 1_3.JPG,,,Rabbit,Rabbit [1]
2016-07-29 05-14-01 M 2_3.JPG,20160830_August,BB15,M 2/3,29/07/2016,5:14:01 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,27,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-29 05-14-01 M 2_3.JPG,,,Rabbit,
2016-07-29 05-14-01 M 3_3.JPG,20160830_August,BB15,M 3/3,29/07/2016,5:14:01 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,27,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-29 05-14-01 M 3_3.JPG,,,Rabbit,
2016-07-29 05-14-02 M 1_3.JPG,20160830_August,BB15,M 1/3,29/07/2016,5:14:02 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,27,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-29 05-14-02 M 1_3.JPG,,,Rabbit,
2016-07-29 05-14-03 M 2_3.JPG,20160830_August,BB15,M 2/3,29/07/2016,5:14:03 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,27,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-29 05-14-03 M 2_3.JPG,,,Rabbit,
2016-07-29 05-14-04 M 3_3.JPG,20160830_August,BB15,M 3/3,29/07/2016,5:14:04 AM,Waning Crescent,On,HC600 HYPERFIRE,160,0,32,0,100,27,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-07-29 05-14-04 M 3_3.JPG,,,Rabbit,
2016-08-09 03-25-04 M 1_3.JPG,20160830_August,BB15,M 1/3,9/08/2016,3:25:04 AM,First Quarter,On,HC600 HYPERFIRE,160,0,32,0,100,66,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-08-09 03-25-04 M 1_3.JPG,,,Fox,Fox [1]
2016-08-09 03-25-05 M 2_3.JPG,20160830_August,BB15,M 2/3,9/08/2016,3:25:05 AM,First Quarter,On,HC600 HYPERFIRE,160,0,32,0,100,66,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-08-09 03-25-05 M 2_3.JPG,,,Fox,
2016-08-09 03-25-06 M 3_3.JPG,20160830_August,BB15,M 3/3,9/08/2016,3:25:06 AM,First Quarter,On,HC600 HYPERFIRE,160,0,32,0,100,66,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-08-09 03-25-06 M 3_3.JPG,,,Fox,
2016-08-10 04-39-15 M 1_3.JPG,20160830_August,BB15,M 1/3,10/08/2016,4:39:15 AM,First Quarter,On,HC600 HYPERFIRE,160,0,32,0,100,29,7.4,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-08-10 04-39-15 M 1_3.JPG,,,Kangaroo,Kangaroo [1]
2016-08-10 04-39-17 M 2_3.JPG,20160830_August,BB15,M 2/3,10/08/2016,4:39:17 AM,First Quarter,On,HC600 HYPERFIRE,160,0,32,0,100,29,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-08-10 04-39-17 M 2_3.JPG,,,Empty photo,
2016-08-10 04-39-17 M 3_3.JPG,20160830_August,BB15,M 3/3,10/08/2016,4:39:17 AM,First Quarter,On,HC600 HYPERFIRE,160,0,32,0,100,29,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-08-10 04-39-17 M 3_3.JPG,,,Empty photo,
2016-08-10 14-01-30 M 1_3.JPG,20160830_August,BB15,M 1/3,10/08/2016,2:01:30 PM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,72,7.3,H600HH04208395,,4.1.0.20140213,F:\Camera Data\Bettong Monitoring Area\20160830_August\BB15\2016-08-10 14-01-30 M 1_3.JPG,,,Human Presense/Deployment,
