RECONYX - MapView Professional,,,,,,,,,,,,,,,,,,,,,,
Image Name,Site,Location,Trigger,Date,Time,Moon Phase,Illum,Label,Contrast,Brightness,Sharpness,Saturation,Sensitivity,Temp,Battery(Volts),Serial #,Narrative,Firmware,Image Path, Location Latitude, Location Longitude,Hit List
IMG_0001.JPG,20160725_July,BB25,M 1/3,6/07/2016,1:36:38 PM,New Moon,Off,HC600 HYPERFIRE,128,0,64,154,100,58,9.9,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0001.JPG,-30.509682,135.568128,Empty photo
IMG_0002.JPG,20160725_July,BB25,M 2/3,6/07/2016,1:36:39 PM,New Moon,Off,HC600 HYPERFIRE,128,0,64,154,100,58,10.5,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0002.JPG,-30.509682,135.568128,Empty photo
IMG_0003.JPG,20160725_July,BB25,M 3/3,6/07/2016,1:36:40 PM,New Moon,Off,HC600 HYPERFIRE,128,0,64,154,100,58,10.5,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0003.JPG,-30.509682,135.568128,Empty photo
IMG_0004.JPG,20160725_July,BB25,M 1/3,6/07/2016,1:36:46 PM,New Moon,Off,HC600 HYPERFIRE,128,0,64,154,100,58,10.5,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0004.JPG,-30.509682,135.568128,Empty photo
IMG_0005.JPG,20160725_July,BB25,M 2/3,6/07/2016,1:36:48 PM,New Moon,Off,HC600 HYPERFIRE,128,0,64,154,100,58,10.5,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0005.JPG,-30.509682,135.568128,Empty photo
IMG_0006.JPG,20160725_July,BB25,M 3/3,6/07/2016,1:36:48 PM,New Moon,Off,HC600 HYPERFIRE,128,0,64,154,100,58,10.5,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0006.JPG,-30.509682,135.568128,Empty photo
IMG_0007.JPG,20160725_July,BB25,M 1/3,25/07/2016,3:04:53 PM,Last Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,71,9.6,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0007.JPG,-30.509682,135.568128,Human Presense/Deployment
IMG_0008.JPG,20160725_July,BB25,M 2/3,25/07/2016,3:04:55 PM,Last Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,71,11,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0008.JPG,-30.509682,135.568128,Empty photo
IMG_0009.JPG,20160725_July,BB25,M 3/3,25/07/2016,3:04:55 PM,Last Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,71,11,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0009.JPG,-30.509682,135.568128,Empty photo
IMG_0010.JPG,20160725_July,BB25,M 1/3,25/07/2016,3:04:58 PM,Last Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,71,11,H600HI12247135,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB25\IMG_0010.JPG,-30.509682,135.568128,Human Presense/Deployment
