RECONYX - MapView Professional,,,,,,,,,,,,,,,,,,,,,,,
Image Name,Site,Location,Trigger,Date,Time,Moon Phase,Illum,Label,Contrast,Brightness,Sharpness,Saturation,Sensitivity,Temp,Battery(Volts),Serial #,Narrative,Firmware,Image Path, Location Latitude, Location Longitude,Hit List,Counts
IMG_0001.JPG,20160725_July,BB28,M 1/3,11/07/2016,8:50:36 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,52,9.7,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0001.JPG,-30.536538,135.56419,Emu,Other [1]
IMG_0002.JPG,20160725_July,BB28,M 2/3,11/07/2016,8:50:38 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,52,11,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0002.JPG,-30.536538,135.56419,Emu,
IMG_0003.JPG,20160725_July,BB28,M 3/3,11/07/2016,8:50:39 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,52,11,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0003.JPG,-30.536538,135.56419,Emu,
IMG_0004.JPG,20160725_July,BB28,M 1/3,12/07/2016,9:23:20 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,55,9.7,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0004.JPG,-30.536538,135.56419,Emu,Other [1]
IMG_0005.JPG,20160725_July,BB28,M 2/3,12/07/2016,9:23:21 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,55,11,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0005.JPG,-30.536538,135.56419,Emu,
IMG_0006.JPG,20160725_July,BB28,M 3/3,12/07/2016,9:23:22 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,55,11,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0006.JPG,-30.536538,135.56419,Emu,
IMG_0007.JPG,20160725_July,BB28,M 1/3,12/07/2016,9:23:23 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,55,11,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0007.JPG,-30.536538,135.56419,Emu,
IMG_0008.JPG,20160725_July,BB28,M 2/3,12/07/2016,9:23:24 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,55,11,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0008.JPG,-30.536538,135.56419,Emu,
IMG_0009.JPG,20160725_July,BB28,M 3/3,12/07/2016,9:23:25 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,55,11,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0009.JPG,-30.536538,135.56419,Emu,
IMG_0010.JPG,20160725_July,BB28,M 1/3,12/07/2016,9:23:33 AM,First Quarter,Off,HC600 HYPERFIRE,128,0,64,154,100,55,11,H600HI12247115,,4.1.0.20160216,F:\Camera Data\Bettong Monitoring Area\20160725_July\BB28\IMG_0010.JPG,-30.536538,135.56419,Emu,
